"","adm1","adm2","month","year","conf"
"245","Conakry","Ratoma",1,2022,4445
"246","Conakry","Ratoma",2,2018,1501
"247","Conakry","Ratoma",2,2019,1636
"248","Conakry","Ratoma",2,2020,1923
"249","Conakry","Ratoma",2,2021,2930
"250","Conakry","Ratoma",2,2022,3171
"251","Conakry","Ratoma",3,2018,1631
"252","Conakry","Ratoma",3,2019,1041
"253","Conakry","Ratoma",3,2020,1837
"254","Conakry","Ratoma",3,2021,2601
"255","Conakry","Ratoma",3,2022,2895
"256","Conakry","Ratoma",4,2018,1350
"257","Conakry","Ratoma",4,2019,967
"258","Conakry","Ratoma",4,2020,1412
"259","Conakry","Ratoma",4,2021,2340
"260","Conakry","Ratoma",4,2022,2336
"261","Conakry","Ratoma",5,2018,1301
"262","Conakry","Ratoma",5,2019,978
"263","Conakry","Ratoma",5,2020,1443
"264","Conakry","Ratoma",5,2021,2333
"265","Conakry","Ratoma",5,2022,2733
"266","Conakry","Ratoma",6,2018,1603
"267","Conakry","Ratoma",6,2019,1698
"268","Conakry","Ratoma",6,2020,2518
"269","Conakry","Ratoma",6,2021,3485
"270","Conakry","Ratoma",6,2022,3615
"271","Conakry","Ratoma",7,2018,2961
"272","Conakry","Ratoma",7,2019,3789
"273","Conakry","Ratoma",7,2020,4400
"274","Conakry","Ratoma",7,2021,5133
"275","Conakry","Ratoma",7,2022,5733
"276","Conakry","Ratoma",8,2018,3569
"277","Conakry","Ratoma",8,2019,5139
"278","Conakry","Ratoma",8,2020,5691
"279","Conakry","Ratoma",8,2021,7473
"280","Conakry","Ratoma",8,2022,8566
"281","Conakry","Ratoma",9,2018,3714
"282","Conakry","Ratoma",9,2019,6020
"283","Conakry","Ratoma",9,2020,4927
"284","Conakry","Ratoma",9,2021,5699
"285","Conakry","Ratoma",9,2022,6973
"286","Conakry","Ratoma",10,2018,4083
"287","Conakry","Ratoma",10,2019,4195
"288","Conakry","Ratoma",10,2020,3864
"289","Conakry","Ratoma",10,2021,4946
"290","Conakry","Ratoma",10,2022,6752
"291","Conakry","Ratoma",11,2018,3247
"292","Conakry","Ratoma",11,2019,5484
"293","Conakry","Ratoma",11,2020,4165
"294","Conakry","Ratoma",11,2021,6319
"295","Conakry","Ratoma",11,2022,6613
"296","Conakry","Ratoma",12,2018,3013
"297","Conakry","Ratoma",12,2019,4177
"298","Conakry","Ratoma",12,2020,4000
"299","Conakry","Ratoma",12,2021,7209
"300","Conakry","Ratoma",12,2022,6171
"301","Boke","Boffa",1,2018,2564
"302","Boke","Boffa",1,2019,2556
"303","Boke","Boffa",1,2020,2886
"304","Boke","Boffa",1,2021,3759
"305","Boke","Boffa",1,2022,5844
"306","Boke","Boffa",2,2018,1845
"307","Boke","Boffa",2,2019,1516
"308","Boke","Boffa",2,2020,2436
"309","Boke","Boffa",2,2021,3332
"310","Boke","Boffa",2,2022,4617
"311","Boke","Boffa",3,2018,1395
"312","Boke","Boffa",3,2019,1572
"313","Boke","Boffa",3,2020,2023
"314","Boke","Boffa",3,2021,3259
"315","Boke","Boffa",3,2022,3168
"316","Boke","Boffa",4,2018,1369
"317","Boke","Boffa",4,2019,1302
"318","Boke","Boffa",4,2020,1400
"319","Boke","Boffa",4,2021,2532
"320","Boke","Boffa",4,2022,2835
"321","Boke","Boffa",5,2018,1314
"322","Boke","Boffa",5,2019,1203
"323","Boke","Boffa",5,2020,2014
"324","Boke","Boffa",5,2021,2225
"325","Boke","Boffa",5,2022,3173
"326","Boke","Boffa",6,2018,1620
"327","Boke","Boffa",6,2019,1490
"328","Boke","Boffa",6,2020,2629
"329","Boke","Boffa",6,2021,3053
"330","Boke","Boffa",6,2022,5135
"331","Boke","Boffa",7,2018,3327
"332","Boke","Boffa",7,2019,3306
"333","Boke","Boffa",7,2020,4708
"334","Boke","Boffa",7,2021,6592
"335","Boke","Boffa",7,2022,8338
"336","Boke","Boffa",8,2018,4440
"337","Boke","Boffa",8,2019,5531
"338","Boke","Boffa",8,2020,5571
"339","Boke","Boffa",8,2021,7339
"340","Boke","Boffa",8,2022,12536
"341","Boke","Boffa",9,2018,4120
"342","Boke","Boffa",9,2019,5107
"343","Boke","Boffa",9,2020,6622
"344","Boke","Boffa",9,2021,7648
"345","Boke","Boffa",9,2022,11021
"346","Boke","Boffa",10,2018,4148
"347","Boke","Boffa",10,2019,3676
"348","Boke","Boffa",10,2020,4991
